date,rating,title,pros,cons,advice,reviewer,url
2016-11-22,2,Room of improvement,"Cool people and good environment, good technical people working there.
Small and evolving teams which give a visibility of what the company is doing and developing.
Every 2 weeks internal meetings to show the development of the company that is cool.","Do not trust on people when they hire them. Too much old stuff to support and with a difficult initial development deploy.
Management is not technical and they trust completely to an external resource, which is/was PHP minded.
I was hired by an external hiring company and in 3 weeks they hire another developer in house and fired me, without a chance of doing something for the compay.",None,Nodejs Developer,https://www.glassdoor.com/Reviews/Employee-Review-Typeform-RVW12754819.htm
2016-10-13,5,Product Designer,Great people that really care about culture and building positive workspace. You get a lot of freedom as a employee and you also have the chance to enjoy Barcelona while building an awesome product.,"Living in a country with a relatively weak and recovering economy like Spain may not suit everyone, especially those who are looking to save money or live certain lifestyles.",Keep being awesome and hopefully stay as well organized as the company grows more and more!,Product Designer,https://www.glassdoor.com/Reviews/Employee-Review-Typeform-RVW12299345.htm
2016-03-10,5,Best place I have ever worked,"- Great culture
- All your ideas are welcome
- The place to work with cutting edge technology
- Nice perks","- Prioritization is sometimes a problem
- Yet looking for a way to organize the teams (we must recognize it is not easy in such a growing company)","Keep the great job, canalize the decisions.",Full Stack Developer,https://www.glassdoor.com/Reviews/Employee-Review-Typeform-RVW9873094.htm
2016-03-07,4,Good Company With Growing Pains,"For the most part, the team and environment are great and I learned a lot from my time there.","No mentorship, overworked founders, and typical territorial office politics by certain managers.",Don't lose good people because you didn't invest in mentorship.,None,https://www.glassdoor.com/Reviews/Employee-Review-Typeform-RVW9834477.htm
2016-03-05,5,Just great and nothing more to add.,"- Open minded management;
- Well balanced company culture. A lot of things is going on around but there is no pressure to spend your private time with coworkers. Also, there main focus is still on a product and work, all the fun happens if you really need/want it;
- A lot of attention to promote cooperation and kindness among coworkers;
- Although a HR people put a lot of effort during selection process, to pick people who don't need to be reminded about those values;
- Focus on an effective performance, no one will be pushing you to work long hours as long as you get the job done. 
- Strong encouragement of a personal growth and team diversity
- The food is delicious :)","- If you are competitive person who prefers to work in an environment that validates you by numbers you might not find this place challenging
- As a company is hiring a lot of a new people and change a structure it might be challenging to lose a good vibe",Please pay attention to a growing process to not to loose the company's culture and a general mindset.,None,https://www.glassdoor.com/Reviews/Employee-Review-Typeform-RVW9808385.htm
2016-03-03,5,Barceptionist in Typeform,"For sure the best feeling I had starting from my first day is been about how comfortable i felt to be surrounded of so many happy people in the home.
In my day 4 I´m very surprised to how people they organize themselves and they support each others with a fast and sincer help.
Wide and clean space office,yummy food, latest technology and a lot of good vibes.","at the moment I have not found any, sorry....!!!","no one, you are doing greate.",Barceptionist,https://www.glassdoor.com/Reviews/Employee-Review-Typeform-RVW9784038.htm
2016-03-02,5,Good company to work for,"- Good company culture
- Nice perks and always trying to bring more
- Transparency regarding company performance
- Encouraging good practices, good liberty left to developers on how to conduct their projects","- Salaries lower than other cities, but compensated by cheaper cost of life
- Communication not always optimal
- hard to get proper focus time",None,Software Developer,https://www.glassdoor.com/Reviews/Employee-Review-Typeform-RVW9770169.htm
2016-03-02,5,There are special companies out there,"Open space, ease of access to anyone you wanna talk to, people listen to advice and suggestions, lot's ot things to do in the future as it's a growing company.
Special benefits are also awesome.",Lack of some procedures that will be needed when a larger amount of workers is here.,None,IT Manager,https://www.glassdoor.com/Reviews/Employee-Review-Typeform-RVW9769892.htm
2016-03-02,5,Amazing culture,"I joined Typeform 2 year ago and I'm still in love with the company. It's such a fantastic workplace that I don't see the hours passing by, I really have a good time with my colleagues. Of course, there are stressful times, but even then everybody jumps in to help and always with a smile on their faces.

Just a couple of PROS:
- amazing culture
- flat hierarchy: there are management levels, of course, but not in the traditional and corporate way, you can speak your mind to your director and even to CEOs
- career opportunities
- the perks!! Amazing lunch, gym membership, health insurance, free beer friday's afternoon :)","Cons.. being a startup, you have to be flexible.. you know that today's priorities may not be the same tomorrow and maybe you worked hard on something that is going to be deprioritized. You also have to juggle around different projects at the same time. Another con is off-topic communication because we enjoy working and hanging out with each others so much, sometimes your email is full of non-work related stuff that gets in the way of important messages.",None,Customer Success Manager,https://www.glassdoor.com/Reviews/Employee-Review-Typeform-RVW9770143.htm
2016-03-02,1,Worst place I've ever worked in. Just a bunch of hipsters!,"* None - they say that one of the perks is the dog they have in the office, but it's just another of the many annoyances in the office.","* They're all trying too hard to promote a hipster startup culture. You aren't thought leaders, you're just following sheep... accept it and move on.
* Most staff are under-qualified, but persist in trying to give an image that they come from top-schools etc. (think people who put ""Stanford"" as their education on LinkedIn when they've only done a coursera online course.
* ""Who you know"" environment","* Re-think the HR function - those people are useless.
* Get rid of the dog
* Please, for the love of god, stop trying to cram the word ""Awesome"" everywhere you can. You work on ""online forms""... get over it.",Anonymous,https://www.glassdoor.com/Reviews/Employee-Review-Typeform-RVW9770882.htm
2016-03-02,5,"A wonderful, warm, and welcoming company that values human interaction above all else","The sheer diversity of the backgrounds of each Typeformer is astounding! The culture of sharing those passions amongst others, to give them an insight into what they enjoy and an opportunity to participate, makes Typeform the most humanistic and dare I say loving company I've ever had the joy of working at. Nobody is just a programmer, or just a product owner, or just a CEO or hiring manager. For someone looking to relocate this is a boon as it provides many opportunities to integrate with a new country, society. and culture.

Similarly there is a strong culture of healthy living, expressed through the catering and other perks.

The diversity is reflected in the organisation - teams adapt to their size and are given some flexibility to implement the processes they require to make the day-to-day life more productive. I think this is the most accurate for the development teams where scrum, kanban, XP, and so on have different benefits depending on team dynamic. 

There is a strong focus on self-improvement and innovation in favour of catching up with the competition.

I find life at Typeform to be exciting.",The term 'headless chickens' occasionally comes to mind ;) the semi-agile way of working can promote a state of flux and sometimes it's hard to know exactly what is going on. Combined with rapid expansion it can sometimes make it a bit more difficult to see the transparency in the operation.,None,Developer,https://www.glassdoor.com/Reviews/Employee-Review-Typeform-RVW9771149.htm
2016-03-02,5,Best Company Ever,"- Flexible working hours and holidays

- So many perks: quarterly massage, half-day Fridays, macbook laptop, big daily hot lunches,  team-building events, rollerblading/football/beach volleyball, cake for all birthdays, BBQs

- Working with talented and entrepreneurial people - you learn a lot and its really motivating; this is one of the top reasons why I don't want to leave Typeform

- Its more than just work, we're a great friendly and social community and help one-another out

- Typeform is experiencing hyper growth so there is plenty of room for career opportunities and owning part of the product. We're moving to a new custom-designed office soon and it's a really exciting journey to be on.","- Too many meetings which may not be necessary

- Most of the decision making is done by management 

- Slow to focus and take advantage of the big opportunities out there but we're getting there",None,None,https://www.glassdoor.com/Reviews/Employee-Review-Typeform-RVW9774177.htm
2016-03-02,5,"Great culture, great product","- Culture and mood
- Amazing city
- People is proactive and very helpful
- You're doing something that is changing the way forms were.","- Hard to get visa 
- Difficult communication something for multiple projects",None,Developer,https://www.glassdoor.com/Reviews/Employee-Review-Typeform-RVW9775593.htm
2015-09-21,4,Love Typeforming,Great people and environment. The is place to learn and take ownership of the work being developed. Open offices. People willing to make the best. Beautiful culture.,A lot of changes in vision and a bit of disorganisation sometimes. Not everybody is recognised for the hard work. Salaries are a bit lower than in market. Non devs managing dev teams.,To achieve the best culture you need to look into workers real necessities also.,None,https://www.glassdoor.com/Reviews/Employee-Review-Typeform-RVW8026348.htm
2015-09-21,5,Becoming one of the best places to work in Europe.,"Really cool & smart people, creative environment, good energy. Open minded people & management. Management are always open to listening to what you have to say and everyone works hard at improving their processes. Great focus on company culture. Open to new ideas. +20 different nationalities. We're in sunny Barcelona!","Salaries start low in some positions, but you can grow pretty fast. All processes are kind of new, which is normal at a start-up, this is also an opportunity to implement new ideas or bring your knowledge and experience on-board.","Keep listening, keep being in touch with your team as you are now. Managing people will always be a challenge but you're doing really well. Thank you for that awesome sense of humor!",Happiness & Culture Lead,https://www.glassdoor.com/Reviews/Employee-Review-Typeform-RVW8020564.htm
2015-09-18,5,"A place to learn, grow and have fun","Typeform isn't just an amazing, innovative product, it is also revolutionary in the way it works internally. Before even starting your journey at Typeform you get more involved with how the product works, how our customers interact with it and on your first week regardless of your department of destination you get to know more about what Typeform users need and want. That adds purpose to your final job, as you know why and who you're doing things for.
The most important Pros for me:
- Multi-cultural team
- Equality in gender, believes, age, nationalities, colour.
- Transparency of the board (where we're going, what's being done, what wants to be achieved)
- Yoga and overall wellness tips
- Interaction of the teams is honest, respectful and target driven
- The opportunity to have a say, express your thoughts and suggestion to make the product and service improve
- Free lunch (with vegetarian options ) and occasional BBQs, free beverages
- An office dog, who's very friendly and funny
- Constant support from management and HR
- Ability to park your bike inside the office
- A huge terrace to have lunch outside or walk a little
- Flexibility
- Private insurance
- Wonderful organic and fair trade tea.
- Wonderful people to share that tea with.","- Location of the offices (might be a Pro or a Con, this is just my personal opinion)
- How space in the office is currently distributed and shared (it's nice to be around everyone but very difficult to focus)
- At times the office, the teams and projects can be a little disorganized but this has been improving considerably.",None,None,https://www.glassdoor.com/Reviews/Employee-Review-Typeform-RVW7992815.htm
2015-09-18,5,Awesome Community,"As a filmmaker I never expected ending up working at a startup... but hey, here I am, and that's because of the people who work here. Everyone is so nice and the whole project is so full of energy that Typeform becomes a really good environment to play and use your creativity. There's always room to try new things and in my opinion it's a very healthy environment to work at.",??? I can't think of any bad aspect about working here... really.,None,Videographer,https://www.glassdoor.com/Reviews/Employee-Review-Typeform-RVW7992296.htm
2015-09-18,5,Company with friendly environment and high quality product,"The environment in the company is open and friendly. The people is from many different countries and they're ambitious so it's always interesting to speak. The code wasn't great at the beginning but it's continually improved thanks to developers afford and different levels of validations of the quality.
At the end it's great place to apply your knowledge, try new things, learn, grow in nice environment.",Open office isn't always very nice place to work. People are sometimes rushed into projects that might not be well analyzed.,"We should invest more in developing own tools (superadmin) having dedicated developers for this.
Company needs data science department, what marketing already look for.
Looking to the feature would be nice have at less 2 developers investigating about feature functionality like machine learning to create forms. Also it's possible to make it like bug station for interested developers.
Make Typeform|IO more HATEOAS.",Developer,https://www.glassdoor.com/Reviews/Employee-Review-Typeform-RVW7992118.htm
2015-09-18,5,"Challenging and fun, but not for the faint-hearted","- The opportunity to build something really disruptive
- No two days are the same
- The team is superb: people to look up to and have fun with
- A place to give, learn and grow
- Goal-oriented culture
- Flexible working hours
- Extremely multicultural
- Mamon (office dog)","- You better be good dealing with stress and uncertainty (remember, it's a startup)
- Huge quantity of goals and projects to balance on a daily basis
- Sometimes goals are changed overnight, you should be really flexible and smart at prioritizing
- Structure of the company is still in progress and they are hiring a lot, so sometimes you need to do some research to discover who's in charge of what",None,None,https://www.glassdoor.com/Reviews/Employee-Review-Typeform-RVW7992135.htm
2015-09-17,5,Work awesomely!,"- The people 
- Good perks
- You can learn so much as they use many technologies 
- They care a lot for their employees
- Lot of room to improve yourself
- Having fun while working, it's impossible getting bored","- If you don't like forms
- If you don't like challenges
- Lots of things to learn when you join",More focus on what to prioritize on projects,Software Engineer,https://www.glassdoor.com/Reviews/Employee-Review-Typeform-RVW7992140.htm
2015-09-17,5,"Chill workplace, vibrant culture, and great people","The people are the best reason to work anywhere, and Typeform delivers here. From the top down, everybody works hard while still keeping a chill attitude. 

Let's start with the founders. They compliment each other well, and are open to new ideas. They welcome good debate, and that's something that's been sorely lacking in my previous positions. They strongly believe in transparency, and that's something I'm not used to, but deeply appreciate.

The culture is laid back, but still vibrant. People want to work hard for each other. There are team lunches 5 days a week. People regularly get together after work, probably because staff is a mishmash of people from all over Europe. English is the primary language with Spanish right behind. People are supportive of each other in ways that go beyond the workplace.

As first glance, you might see the product as another form or survey tool, but it's much more than that. Typeform is a data collection tool most of all, but with a heavy emphasis on UX (user experience). This is its bread and butter and it's easy to get behind a quality product that has more depth than at first glance. Product versatility also allows ""users"" to do things that even the developers haven't imagined. That seems to keep staff inspired to keep adding more features and enhancements.

Finally, there's a desire to help people do their best work. What good is talent if you don't get the most out of them? Typeform is putting into place a system of ongoing staff evaluations to ensure the talent fits the job to be done. This is so important to keeping and retaining the best talent. I want to grow professionally, and I feel that I will be supported in that growth. I get feedback from more than one person about what else I can bring to the company, and it's always encouraging to know that people care and want to see you do your best.

People, product, purpose = optimistic that we can really build something great together.","It's a startup, so many systems and processes are being developed on the fly. I appreciate the pickiness of the founders, but as a candidate, I could've been better informed regarding how the interview process would play out.",Stay the course. Don't ruin a great thing. Keep a strong culture while the company grows. Listen and listen some more.,Writer,https://www.glassdoor.com/Reviews/Employee-Review-Typeform-RVW7991677.htm
2015-09-17,5,Amazing and dynamic place for people who love to make the web a better place,"Typeform have been one of the most exciting places for me to work at. Everyone in the company is ambitious and want the company to get better. Interesting characters and the product is amazing. The current code could be better, but thankfully is actively being worked on.

Management is good when it comes to recognize that sometimes you have to work on your technical debt, which is amazing. 

All teams work together well and communicates across the board.","Open office environment, everyone is in the same room.

People could be more recognized for their accomplishments.

People are sometimes rushed into projects that might not be well thought for.",None,None,https://www.glassdoor.com/Reviews/Employee-Review-Typeform-RVW7982508.htm
